text,label
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
visible signs are dark scabby lesions on fruit,Apple___Apple_scab
the plant is showing fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
symptoms include leaf curling,Tomato___Leaf_Mold
i see white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
the plant is showing brown circular lesions,Grape___Black_rot
the plant is showing healthy plant,Blueberry___healthy
plant has long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
visible signs are purple lesions on leaves,Apple___Black_rot
plant has yellow leaf discoloration,Apple___Cedar_apple_rust
i see leaf distortion and curling,Tomato___Tomato_mosaic_virus
plant has healthy plant,Peach___healthy
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
leaves show white powder on leaves,Squash___Powdery_mildew
there are long narrow leaf spots on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are small deformed fruits on leaves,Orange___Haunglongbing_(Citrus_greening)
symptoms include no disease,"Pepper,_bell___healthy"
there are no symptoms on leaves,Peach___healthy
i see scorched leaf appearance,Strawberry___Leaf_scorch
symptoms include long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
i see no disease,"Pepper,_bell___healthy"
visible signs are gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are healthy plant on leaves,Tomato___healthy
there are white fungal growth underside on leaves,Potato___Late_blight
i see tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
i see yellow halo around lesions,Tomato___Bacterial_spot
plant has no signs of disease,Cherry_(including_sour)___healthy
symptoms include green leaves,Blueberry___healthy
symptoms include yellowing of lower leaves,Tomato___Early_blight
plant has gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
there are green foliage on leaves,Cherry_(including_sour)___healthy
i see green foliage,Cherry_(including_sour)___healthy
symptoms include leaf rot and decay,Tomato___Late_blight
plant has normal plant growth,Apple___healthy
there are no disease on leaves,"Pepper,_bell___healthy"
there are healthy leaves on leaves,Raspberry___healthy
plant has green foliage,Raspberry___healthy
leaves show tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
leaves show upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
symptoms include leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are green leaves,Soybean___healthy
plant has green leaves,Grape___healthy
symptoms include dark scabby lesions on fruit,Apple___Apple_scab
leaves show brown circular lesions,Grape___Black_rot
i see no signs of disease,Cherry_(including_sour)___healthy
the plant is showing long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing leaf holes and tearing,Peach___Bacterial_spot
the plant is showing scorched leaf appearance,Strawberry___Leaf_scorch
symptoms include yellow halo around spots,"Pepper,_bell___Bacterial_spot"
there are no signs of disease on leaves,Cherry_(including_sour)___healthy
the plant is showing dark scabby lesions on fruit,Apple___Apple_scab
plant has webbing under leaves,Tomato___Spider_mites Two-spotted_spider_mite
leaves show small dark spots on leaves,Tomato___Bacterial_spot
leaves show healthy plant,Peach___healthy
there are fungal coating on leaves,Squash___Powdery_mildew
visible signs are normal plant growth,Apple___healthy
leaves show no symptoms,Blueberry___healthy
visible signs are small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
there are no disease signs on leaves,Soybean___healthy
there are no symptoms on leaves,Potato___healthy
there are black spots on leaves on leaves,Grape___Black_rot
symptoms include leaf edges turning brown,Strawberry___Leaf_scorch
leaves show healthy vine,Grape___healthy
visible signs are target-like lesions,Tomato___Early_blight
visible signs are fruit shriveling and drying,Grape___Black_rot
the plant is showing leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has dusty white appearance,Squash___Powdery_mildew
leaves show no symptoms,Grape___healthy
leaves show healthy leaves,Raspberry___healthy
visible signs are scorched leaf appearance,Strawberry___Leaf_scorch
there are healthy plant on leaves,Potato___healthy
leaves show healthy leaves,Raspberry___healthy
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plant has light and dark green patches,Tomato___Tomato_mosaic_virus
the plant is showing green leaves,Corn_(maize)___healthy
i see yellow halo around spots,"Pepper,_bell___Bacterial_spot"
symptoms include white mold under leaves,Tomato___Late_blight
the plant is showing upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
i see leaf rot and decay,Tomato___Late_blight
plant has healthy plant,Blueberry___healthy
symptoms include yellow halo around spots,"Pepper,_bell___Bacterial_spot"
leaves show upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
leaves show small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
plant has long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
i see leaf drying,Tomato___Target_Spot
plant has leaf blight symptoms,Corn_(maize)___Northern_Leaf_Blight
symptoms include white powder on leaves,Squash___Powdery_mildew
the plant is showing green leaves,Corn_(maize)___healthy
leaves show no visible disease,Apple___healthy
there are healthy crop on leaves,Soybean___healthy
i see mosaic pattern on leaves,Tomato___Tomato_mosaic_virus
symptoms include long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
symptoms include small circular brown spots,Tomato___Septoria_leaf_spot
plant has green mold on underside,Tomato___Leaf_Mold
plant has healthy plant,Strawberry___healthy
leaves show leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show green leaves,Grape___healthy
visible signs are yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see no disease symptoms,Corn_(maize)___healthy
leaves show leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
i see healthy green leaves,"Pepper,_bell___healthy"
there are leaf holes and tearing on leaves,Peach___Bacterial_spot
the plant is showing healthy leaves,Cherry_(including_sour)___healthy
i see green leaves,Corn_(maize)___healthy
symptoms include dark water soaked spots on leaves,Peach___Bacterial_spot
i see small dark spots on leaves,Tomato___Bacterial_spot
i see no symptoms,Blueberry___healthy
there are fruit surface lesions on leaves,Peach___Bacterial_spot
i see green foliage,Raspberry___healthy
visible signs are black spots on leaves,Grape___Black_rot
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
i see white powder on leaves,Squash___Powdery_mildew
plant has leaf drop,"Pepper,_bell___Bacterial_spot"
plant has stunted plant growth,Tomato___Tomato_Yellow_Leaf_Curl_Virus
plant has no symptoms,Grape___healthy
the plant is showing normal growth,"Pepper,_bell___healthy"
plant has olive green spots on leaves,Apple___Apple_scab
the plant is showing yellow halo around spots,"Pepper,_bell___Bacterial_spot"
the plant is showing webbing under leaves,Tomato___Spider_mites Two-spotted_spider_mite
i see target-like lesions,Tomato___Early_blight
leaves show fruit shriveling and drying,Grape___Black_rot
visible signs are yellow halo around spots,"Pepper,_bell___Bacterial_spot"
leaves show healthy plant,Potato___healthy
leaves show leaf rot and decay,Tomato___Late_blight
plant has leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
leaves show gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
visible signs are no signs of disease,Cherry_(including_sour)___healthy
symptoms include yellow halo around spots,Tomato___Septoria_leaf_spot
plant has leaf drop,Tomato___Bacterial_spot
visible signs are bright orange spots on leaves,Apple___Cedar_apple_rust
there are no symptoms on leaves,Tomato___healthy
the plant is showing asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
plant has small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
visible signs are small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
the plant is showing yellowing of lower leaves,Tomato___Early_blight
leaves show green foliage,Raspberry___healthy
leaves show no disease symptoms,Corn_(maize)___healthy
visible signs are green healthy leaves,Apple___healthy
there are yellowing around leaf spots on leaves,Apple___Apple_scab
symptoms include white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
plant has bright orange spots on leaves,Apple___Cedar_apple_rust
symptoms include brown spots with concentric rings,Tomato___Early_blight
the plant is showing dark water soaked spots on leaves,Peach___Bacterial_spot
leaves show no disease,Strawberry___healthy
leaves show light and dark green patches,Tomato___Tomato_mosaic_virus
leaves show no symptoms,Peach___healthy
visible signs are no disease,"Pepper,_bell___healthy"
the plant is showing green foliage,Cherry_(including_sour)___healthy
leaves show yellowing of leaves,Tomato___Tomato_Yellow_Leaf_Curl_Virus
symptoms include yellow halo around lesions,Tomato___Bacterial_spot
visible signs are asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
the plant is showing leaf rot,Potato___Late_blight
plant has yellow halo around lesions,Tomato___Bacterial_spot
the plant is showing yellowing of lower leaves,Tomato___Early_blight
i see upward leaf curling,Tomato___Tomato_Yellow_Leaf_Curl_Virus
leaves show brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
symptoms include leaf striping patterns,Grape___Esca_(Black_Measles)
visible signs are no disease,"Pepper,_bell___healthy"
symptoms include dark water soaked spots,Tomato___Late_blight
leaves show stunted plant growth,Tomato___Tomato_Yellow_Leaf_Curl_Virus
i see no disease,Strawberry___healthy
i see yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
symptoms include leaf discoloration,Tomato___Spider_mites Two-spotted_spider_mite
the plant is showing fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
visible signs are yellowing around leaf spots,Apple___Apple_scab
symptoms include leaf edges turning brown,Apple___Black_rot
i see brown circular lesions,Grape___Black_rot
leaves show green leaves,Potato___healthy
visible signs are light and dark green patches,Tomato___Tomato_mosaic_virus
visible signs are green foliage,Cherry_(including_sour)___healthy
leaves show normal growth,"Pepper,_bell___healthy"
there are healthy plant on leaves,Peach___healthy
symptoms include yellowing of leaves,Tomato___Tomato_Yellow_Leaf_Curl_Virus
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
visible signs are green leaves,Grape___healthy
there are fruit surface lesions on leaves,Peach___Bacterial_spot
there are healthy crop on leaves,Soybean___healthy
there are white powder on leaves on leaves,Squash___Powdery_mildew
there are fungal coating on leaves,Squash___Powdery_mildew
the plant is showing no symptoms,Blueberry___healthy
the plant is showing healthy vine,Grape___healthy
there are healthy leaves on leaves,Raspberry___healthy
symptoms include yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
leaves show green leaves,Peach___healthy
leaves show leaf rot and decay,Tomato___Late_blight
the plant is showing black rotten spots on fruit,Apple___Black_rot
there are yellow spots on upper leaves on leaves,Tomato___Leaf_Mold
visible signs are brown circular lesions,Grape___Black_rot
there are healthy plant on leaves,Strawberry___healthy
i see scorched leaf appearance,Strawberry___Leaf_scorch
the plant is showing leaf drop,Tomato___Bacterial_spot
leaves show healthy crop,Corn_(maize)___healthy
i see long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
there are yellowing of leaves on leaves,Potato___Early_blight
symptoms include small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
plant has no symptoms,Peach___healthy
plant has leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show dark water soaked spots on leaves,Peach___Bacterial_spot
symptoms include green leaves,Strawberry___healthy
there are small tube-like structures under leaves on leaves,Apple___Cedar_apple_rust
leaves show tiny leaf lesions,Tomato___Septoria_leaf_spot
symptoms include small dark spots on leaves,Tomato___Bacterial_spot
the plant is showing leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
visible signs are purple spots on leaves,Strawberry___Leaf_scorch
there are gray green leaf spots on leaves,Corn_(maize)___Northern_Leaf_Blight
i see green leaves,Potato___healthy
there are small tube-like structures under leaves on leaves,Apple___Cedar_apple_rust
the plant is showing yellow leaf discoloration,Apple___Cedar_apple_rust
there are dark spots on grapes on leaves,Grape___Esca_(Black_Measles)
i see leaf striping patterns,Grape___Esca_(Black_Measles)
there are leaf edges turning brown on leaves,Apple___Black_rot
i see normal growth,"Pepper,_bell___healthy"
plant has no disease symptoms,Corn_(maize)___healthy
visible signs are no symptoms,Raspberry___healthy
the plant is showing white mold under leaves,Tomato___Late_blight
visible signs are leaf drop,"Pepper,_bell___Bacterial_spot"
visible signs are green leaves,Potato___healthy
leaves show healthy plant,Potato___healthy
visible signs are dark spots on grapes,Grape___Esca_(Black_Measles)
i see leaf rot,Potato___Late_blight
plant has webbing under leaves,Tomato___Spider_mites Two-spotted_spider_mite
there are target shaped lesions on leaves,Tomato___Target_Spot
leaves show healthy crop,Soybean___healthy
visible signs are healthy plant,Strawberry___healthy
plant has small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
leaves show healthy crop,Corn_(maize)___healthy
i see leaf striping patterns,Grape___Esca_(Black_Measles)
visible signs are green foliage,Raspberry___healthy
the plant is showing tiny leaf lesions,Tomato___Septoria_leaf_spot
symptoms include small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
there are normal growth on leaves,"Pepper,_bell___healthy"
there are brown circular spots on leaves,Tomato___Target_Spot
i see small circular brown spots,Tomato___Septoria_leaf_spot
visible signs are no visible disease,Apple___healthy
symptoms include stunted plant growth,Tomato___Tomato_Yellow_Leaf_Curl_Virus
the plant is showing healthy plant,Blueberry___healthy
the plant is showing no symptoms,Raspberry___healthy
visible signs are healthy plant,Tomato___healthy
symptoms include normal growth,"Pepper,_bell___healthy"
the plant is showing healthy crop,Corn_(maize)___healthy
i see brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plant has healthy plant,Strawberry___healthy
i see leaf drop,"Pepper,_bell___Bacterial_spot"
the plant is showing yellowing around leaf spots,Apple___Apple_scab
plant has stunted plant growth,Tomato___Tomato_Yellow_Leaf_Curl_Virus
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
plant has no symptoms,Potato___healthy
plant has healthy leaves,Cherry_(including_sour)___healthy
symptoms include green leaves,Strawberry___healthy
plant has normal plant growth,Apple___healthy
leaves show small tube-like structures under leaves,Apple___Cedar_apple_rust
plant has no symptoms,Blueberry___healthy
the plant is showing small rust spots,Corn_(maize)___Common_rust_
i see leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show no symptoms,Grape___healthy
plant has leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show stunted plant growth,Tomato___Tomato_Yellow_Leaf_Curl_Virus
leaves show dry leaf patches,Potato___Early_blight
there are leaf discoloration on leaves,Tomato___Spider_mites Two-spotted_spider_mite
there are yellowing of leaves on leaves,Potato___Early_blight
leaves show yellow halo around spots,"Pepper,_bell___Bacterial_spot"
visible signs are brown circular lesions,Grape___Black_rot
symptoms include green leaves,Strawberry___healthy
visible signs are no symptoms,Raspberry___healthy
symptoms include yellow spots on upper leaves,Tomato___Leaf_Mold
plant has tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
i see healthy plant,Potato___healthy
leaves show no visible disease,Apple___healthy
plant has dark spots on grapes,Grape___Esca_(Black_Measles)
visible signs are leaf distortion and curling,Tomato___Tomato_mosaic_virus
plant has white powdery coating on leaves,Cherry_(including_sour)___Powdery_mildew
the plant is showing healthy plant,Blueberry___healthy
visible signs are fruit shriveling and drying,Grape___Black_rot
visible signs are fruit surface lesions,Peach___Bacterial_spot
leaves show small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
visible signs are leaf edges turning brown,Apple___Black_rot
the plant is showing no symptoms,Raspberry___healthy
the plant is showing healthy leaves,Cherry_(including_sour)___healthy
there are green leaves on leaves,Strawberry___healthy
i see dark water soaked spots,Tomato___Late_blight
the plant is showing no signs of disease,Cherry_(including_sour)___healthy
there are bright orange spots on leaves on leaves,Apple___Cedar_apple_rust
i see powdery spores on leaf surface,Corn_(maize)___Common_rust_
i see small dark spots on leaves,Tomato___Bacterial_spot
leaves show small dark spots on leaves,Tomato___Bacterial_spot
the plant is showing leaf rot,Potato___Late_blight
visible signs are no symptoms,Tomato___healthy
the plant is showing leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are healthy plant on leaves,Potato___healthy
the plant is showing leaf scorch symptoms,Grape___Esca_(Black_Measles)
symptoms include fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
leaves show leaf drop,"Pepper,_bell___Bacterial_spot"
visible signs are green leaves,Strawberry___healthy
visible signs are healthy green leaves,"Pepper,_bell___healthy"
i see no symptoms,Blueberry___healthy
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
leaves show long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
plant has white mold under leaves,Tomato___Late_blight
visible signs are yellow halo around spots,Tomato___Septoria_leaf_spot
there are yellowing of leaves on leaves,Potato___Early_blight
there are target-like lesions on leaves,Tomato___Early_blight
there are leaf drop on leaves,"Pepper,_bell___Bacterial_spot"
there are leaf drying on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show leaf drop,"Pepper,_bell___Bacterial_spot"
plant has green leaves,Soybean___healthy
there are green leaves on leaves,Tomato___healthy
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
symptoms include leaf curling,Tomato___Leaf_Mold
plant has healthy plant,Blueberry___healthy
symptoms include brown spots with concentric rings,Potato___Early_blight
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
leaves show fruit shriveling and drying,Grape___Black_rot
symptoms include leaf discoloration,Tomato___Spider_mites Two-spotted_spider_mite
symptoms include no symptoms,Potato___healthy
symptoms include long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show dark water soaked lesions,Potato___Late_blight
i see powdery spores on leaf surface,Corn_(maize)___Common_rust_
visible signs are light and dark green patches,Tomato___Tomato_mosaic_virus
i see green foliage,Cherry_(including_sour)___healthy
the plant is showing no symptoms,Raspberry___healthy
symptoms include leaf curling,Tomato___Leaf_Mold
plant has yellow leaf discoloration,Apple___Cedar_apple_rust
i see green leaves,Peach___healthy
the plant is showing long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
symptoms include gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
the plant is showing healthy leaves,Cherry_(including_sour)___healthy
plant has small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
symptoms include small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
visible signs are webbing under leaves,Tomato___Spider_mites Two-spotted_spider_mite
leaves show green foliage,Raspberry___healthy
i see brown circular lesions,Grape___Black_rot
leaves show leaf drop,"Pepper,_bell___Bacterial_spot"
leaves show small dark spots on leaves,Tomato___Bacterial_spot
i see leaf edges turning brown,Apple___Black_rot
plant has white powder on leaves,Squash___Powdery_mildew
there are healthy plant on leaves,Strawberry___healthy
plant has leaf striping patterns,Grape___Esca_(Black_Measles)
plant has healthy plant,Peach___healthy
plant has webbing under leaves,Tomato___Spider_mites Two-spotted_spider_mite
visible signs are target shaped lesions,Tomato___Target_Spot
symptoms include yellowing of lower leaves,Tomato___Early_blight
the plant is showing brown circular spots,Tomato___Target_Spot
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are leaf striping patterns,Grape___Esca_(Black_Measles)
symptoms include asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
visible signs are healthy crop,Soybean___healthy
the plant is showing gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
plant has brown circular spots,Tomato___Target_Spot
i see healthy plant,Potato___healthy
there are brown angular leaf spots on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plant has long cigar shaped lesions,Corn_(maize)___Northern_Leaf_Blight
visible signs are target-like lesions,Tomato___Early_blight
i see fungal growth on leaf surface,Cherry_(including_sour)___Powdery_mildew
there are healthy plant on leaves,Peach___healthy
the plant is showing mosaic pattern on leaves,Tomato___Tomato_mosaic_virus
the plant is showing mosaic pattern on leaves,Tomato___Tomato_mosaic_virus
plant has dry leaf patches,Potato___Early_blight
symptoms include yellow spots on upper leaves,Tomato___Leaf_Mold
symptoms include gray green leaf spots,Corn_(maize)___Northern_Leaf_Blight
plant has gray rectangular lesions on leaves,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
visible signs are leaf edges turning brown,Apple___Black_rot
plant has small circular brown spots,Tomato___Septoria_leaf_spot
i see no symptoms,Potato___healthy
plant has purple lesions on leaves,Apple___Black_rot
plant has yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
visible signs are no signs of disease,Cherry_(including_sour)___healthy
there are white fungal growth underside on leaves,Potato___Late_blight
there are healthy plant on leaves,Blueberry___healthy
plant has green leaves,Soybean___healthy
visible signs are green leaves,Strawberry___healthy
visible signs are brown circular spots,Tomato___Target_Spot
leaves show target-like lesions,Tomato___Early_blight
visible signs are healthy plant,Peach___healthy
there are leaf drop on leaves,Tomato___Bacterial_spot
the plant is showing green leaves,Soybean___healthy
i see brown spots with concentric rings,Tomato___Early_blight
visible signs are no disease,"Pepper,_bell___healthy"
the plant is showing black spots on leaves,Grape___Black_rot
leaves show leaf edges turning brown,Apple___Black_rot
visible signs are yellow halo around lesions,Tomato___Bacterial_spot
leaves show no symptoms,Tomato___healthy
plant has bright orange spots on leaves,Apple___Cedar_apple_rust
symptoms include tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
i see yellow halo around spots,Tomato___Septoria_leaf_spot
symptoms include dry leaf patches,Potato___Early_blight
i see yellowing of lower leaves,Tomato___Early_blight
i see purple spots on leaves,Strawberry___Leaf_scorch
the plant is showing no symptoms,Peach___healthy
the plant is showing healthy plant,Tomato___healthy
i see tiny yellow specks on leaves,Tomato___Spider_mites Two-spotted_spider_mite
plant has leaf curling,Tomato___Leaf_Mold
the plant is showing yellow halo around lesions,Tomato___Bacterial_spot
i see green foliage,Cherry_(including_sour)___healthy
plant has fungal coating,Squash___Powdery_mildew
leaves show dusty white appearance,Squash___Powdery_mildew
leaves show small rust spots,Corn_(maize)___Common_rust_
leaves show healthy green leaves,"Pepper,_bell___healthy"
symptoms include long narrow leaf spots,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
there are scorched leaf appearance on leaves,Strawberry___Leaf_scorch
symptoms include dry leaf patches,Potato___Early_blight
the plant is showing no symptoms,Tomato___healthy
the plant is showing leaf discoloration,Tomato___Spider_mites Two-spotted_spider_mite
symptoms include no disease symptoms,Corn_(maize)___healthy
leaves show yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
symptoms include healthy leaves,Raspberry___healthy
leaves show leaf edges turning brown,Strawberry___Leaf_scorch
leaves show fruit surface lesions,Peach___Bacterial_spot
leaves show leaf edges turning brown,Strawberry___Leaf_scorch
visible signs are healthy plant,Potato___healthy
symptoms include reddish brown pustules on leaves,Corn_(maize)___Common_rust_
visible signs are dark water soaked lesions,Potato___Late_blight
visible signs are leaf tissue turning gray,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
leaves show dark spots on grapes,Grape___Esca_(Black_Measles)
leaves show no symptoms,Grape___healthy
plant has bright orange spots on leaves,Apple___Cedar_apple_rust
there are leaf holes and tearing on leaves,Peach___Bacterial_spot
i see small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
the plant is showing green leaves,Grape___healthy
plant has green leaves,Blueberry___healthy
i see leaf drop,Tomato___Bacterial_spot
plant has brown circular lesions,Grape___Black_rot
plant has leaf drop,"Pepper,_bell___Bacterial_spot"
leaves show stunted plant growth,Tomato___Tomato_Yellow_Leaf_Curl_Virus
there are fruit shriveling and drying on leaves,Grape___Black_rot
visible signs are leaf discoloration,Tomato___Spider_mites Two-spotted_spider_mite
symptoms include small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
plant has no symptoms,Peach___healthy
visible signs are leaf drying,Tomato___Target_Spot
i see green foliage,Cherry_(including_sour)___healthy
the plant is showing scorched leaf appearance,Strawberry___Leaf_scorch
leaves show brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
the plant is showing leaf rot and decay,Tomato___Late_blight
plant has dark water soaked spots on leaves,Peach___Bacterial_spot
the plant is showing leaf rot and decay,Tomato___Late_blight
the plant is showing leaf striping patterns,Grape___Esca_(Black_Measles)
i see yellow halo around spots,"Pepper,_bell___Bacterial_spot"
symptoms include healthy plant,Blueberry___healthy
leaves show no symptoms,Raspberry___healthy
symptoms include leaves appear dusty white,Cherry_(including_sour)___Powdery_mildew
plant has green leaves,Blueberry___healthy
visible signs are purple lesions on leaves,Apple___Black_rot
plant has leaf holes and tearing,Peach___Bacterial_spot
leaves show green leaves,Grape___healthy
i see leaf drop,"Pepper,_bell___Bacterial_spot"
visible signs are purple lesions on leaves,Apple___Black_rot
plant has dark water soaked spots on leaves,Peach___Bacterial_spot
